,0
GATS1m,484.1886116991581
GATS2m,484.1886116991581
GATS1v,484.1886116991581
GATS2v,484.1886116991581
GATS1se,484.1886116991581
GATS2se,484.1886116991581
GATS1pe,484.1886116991581
GATS2pe,484.1886116991581
GATS1are,484.1886116991581
GATS2are,484.1886116991581
GATS1p,484.1886116991581
GATS2p,484.1886116991581
GATS1i,484.1886116991581
GATS2i,484.1886116991581
BCUTdv-1h,484.1886116991581
BCUTdv-1l,484.1886116991581
BCUTd-1h,484.1886116991581
BCUTd-1l,484.1886116991581
BCUTs-1h,484.1886116991581
BCUTs-1l,484.1886116991581
BCUTZ-1h,484.1886116991581
BCUTZ-1l,484.1886116991581
BCUTm-1h,484.1886116991581
BCUTm-1l,484.1886116991581
BCUTv-1h,484.1886116991581
BCUTv-1l,484.1886116991581
BCUTse-1h,484.1886116991581
BCUTse-1l,484.1886116991581
BCUTpe-1h,484.1886116991581
BCUTpe-1l,484.1886116991581
BCUTare-1h,484.1886116991581
BCUTare-1l,484.1886116991581
BCUTp-1h,484.1886116991581
BCUTp-1l,484.1886116991581
BCUTi-1h,484.1886116991581
BCUTi-1l,484.1886116991581
BalabanJ,484.1886116991581
SpAbs_DzZ,484.1886116991581
SpMax_DzZ,484.1886116991581
SpDiam_DzZ,484.1886116991581
SpAD_DzZ,484.1886116991581
SpMAD_DzZ,484.1886116991581
LogEE_DzZ,484.1886116991581
SM1_DzZ,484.1886116991581
VE1_DzZ,484.1886116991581
VE2_DzZ,484.1886116991581
VE3_DzZ,484.1886116991581
VR1_DzZ,484.1886116991581
VR2_DzZ,484.1886116991581
VR3_DzZ,484.1886116991581
SpAbs_Dzm,484.1886116991581
SpMax_Dzm,484.1886116991581
SpDiam_Dzm,484.1886116991581
SpAD_Dzm,484.1886116991581
SpMAD_Dzm,484.1886116991581
LogEE_Dzm,484.1886116991581
SM1_Dzm,484.1886116991581
VE1_Dzm,484.1886116991581
VE2_Dzm,484.1886116991581
VE3_Dzm,484.1886116991581
VR1_Dzm,484.1886116991581
VR2_Dzm,484.1886116991581
VR3_Dzm,484.1886116991581
SpAbs_Dzv,484.1886116991581
SpMax_Dzv,484.1886116991581
SpDiam_Dzv,484.1886116991581
SpAD_Dzv,484.1886116991581
SpMAD_Dzv,484.1886116991581
LogEE_Dzv,484.1886116991581
